Id,Label,extime_copy,group,folder
1667,BeginWaterBalance(),0,1,CLM_45_r97
1668,AppTemp(),0,1,CLM_45_r97
1670,c2g(),0,1,CLM_45_r97
1676,ground_fuel_consumption(),0,1,CLM_45_r97
1682,IrrigationInitCold(),0,1,CLM_45_r97
1683,canopystate_inst%InitAccBuffer(),0,1,CLM_45_r97
1684,PhaseChangeH2osfc(),0,1,CLM_45_r97
1685,SetValues(),0,1,CLM_45_r97
1688,ncd_io_0d_log_glob(),0,1,CLM_45_r97
1690,SetMatrix(),0,1,CLM_45_r97
1691,c13_soilbiogeochem_carbonflux_inst%Summary(),0,1,CLM_45_r97
1692,Compute_EffecRootFrac_And_VertTranSink(),0,1,CLM_45_r97
1698,readNcdioArray1d(),0,1,CLM_45_r97
1701,copy_cohort(),0,1,CLM_45_r97
1703,ncd_io_1d_double(),0,1,CLM_45_r97
1709,currentPatch%set_root_fraction(),0,1,CLM_45_r97
1716,ncd_pio_createfile(),0,1,CLM_45_r97
1732,zero_cohort(),0,1,CLM_45_r97
1733,InitCold(main)(),0,1,CLM_45_r97
1734,readNcdioScalar(),0,1,CLM_45_r97
1735,quadratic(),0,1,CLM_45_r97
1742,pedotransf_cosby1984_table5(),0,1,CLM_45_r97
1743,QSat(),0,1,CLM_45_r97
1757,ed_integrate_state_variables(),0,1,CLM_45_r97
1759,dynHarvest_interp(),0,1,CLM_45_r97
1761,SoilThermProp(),0,1,CLM_45_r97
1762,fire_litter_fluxes(),0,1,CLM_45_r97
1765,ncd_defvar_bygrid(),0,1,CLM_45_r97
1768,ncd_pio_closefile(),0,1,CLM_45_r97
1770,initAccBuffer(ED_biogeochem)(),0,1,CLM_45_r97
1791,ervc%getVectors(),0,1,CLM_45_r97
1792,set_landunit_names(),0,1,CLM_45_r97
1798,nutrient_competition_method%calc_plant_nutrient_competition(),0,1,CLM_45_r97
1801,ncd_inqvdlen_byName(),0,1,CLM_45_r97
1802,CNCIsoGapPftToColumn(),0,1,CLM_45_r97
1804,dgvs_inst%Init(),0,1,CLM_45_r97
1807,non_canopy_derivs(),0,1,CLM_45_r97
1813,canopystate_inst%restart(),0,1,CLM_45_r97
1824,cwd_input(),0,1,CLM_45_r97
1832,check_downscale_consistency(),0,1,CLM_45_r97
1833,IrrigationInit(),0,1,CLM_45_r97
1837,cnveg_state_inst%CropRestIncYear(),0,1,CLM_45_r97
1839,initHistory(ED_biogeochem)(),0,1,CLM_45_r97
1843,CStateUpdate0(),0,1,CLM_45_r97
1844,ed_total_balance_check(),0,1,CLM_45_r97
1846,hist_printflds(),0,1,CLM_45_r97
1847,shr_string_listAppend(),0,1,CLM_45_r97
1849,get_proc_global(),0,1,CLM_45_r97
1850,get_rest_date(),0,1,CLM_45_r97
1855,nutrient_competition_method%calc_plant_nutrient_demand(),0,1,CLM_45_r97
1858,CNNDeposition(),0,1,CLM_45_r97
1859,Init(biogeochem)(),0,1,CLM_45_r97
1860,cnveg_carbonstate_inst%Summary(),0,1,CLM_45_r97
1868,canopystate_inst%Init(),0,1,CLM_45_r97
1869,ed_init(),0,1,CLM_45_r97
1873,wind_effect(),0,1,CLM_45_r97
1881,SnowOptics_init(),0,1,CLM_45_r97
1882,hist_update_hbuf_field_1d(),0,1,CLM_45_r97
1893,SoilTemperature(),0,1,CLM_45_r97
1894,clm_instRest(),0,1,CLM_45_r97
1906,restFile_open(),0,1,CLM_45_r97
1908,advance_timestep(),0,1,CLM_45_r97
1909,Summary_nitrogenflux(),0,1,CLM_45_r97
1911,CanopyTemperature(),0,1,CLM_45_r97
1914,allocFilters(),0,1,CLM_45_r97
1915,ncd_putatt_int(),0,1,CLM_45_r97
1922,CNNFixation(),0,1,CLM_45_r97
1924,SoilFluxes(),0,1,CLM_45_r97
1931,shr_strdata_create(),0,1,CLM_45_r97
1932,waterstate_inst%restart(),0,1,CLM_45_r97
1940,CNPhenology(),0,1,CLM_45_r97
1947,c13_soilbiogeochem_carbonstate_inst%summary(),0,1,CLM_45_r97
1954,ed_clm_inst%Init(),0,1,CLM_45_r97
1960,recruitment(),0,1,CLM_45_r97
1961,SetMatrix_Snow(),0,1,CLM_45_r97
1967,waterstate_inst%Reset(),0,1,CLM_45_r97
